en,ro
along,de -a lungul
world,lume
she'd,ea ar fi
high,înalt
shirt,cămaşă
does,face
today,astăzi
young,tineri
held,ținut
outside,in afara
listen,asculta
whisper,şoaptă
won't,nu
happy,fericit
ground,sol
deep,adânc
drop,cădere brusca
shrug,ridicare din umeri
dress,rochie
fell,căzut
there's,Există
yell,strigăt
breath,suflare
air,aer
tear,rupere
sister,sora
chair,scaun
kitchen,bucătărie
matter,chestiune
hurt,rănit
fall,toamna
wear,purta
isn't,nu este
woman,femeie
eat,mânca
lie,minciună
hell,iad
suppose,presupune
cover,acoperi
couple,cuplu
large,mare
either,fie
five,cinci
leg,picior
jump,a sari
die,a muri
return,întoarcere
able,capabil
bag,sac
alone,singur
shut,închis
stuff,chestie
short,mic de statura
ready,gata
understand,a intelege
kept,ținut
plan,plan
raise,a ridica
street,stradă
different,diferit
problem,problemă
break,pauză
line,linia
early,din timp
cut,a tăia
cold,rece
paper,hârtie
scream,ţipăt
instead,in schimb
stupid,prost
silence,tăcere
tree,copac
caught,prins
ear,ureche
food,alimente
full,deplin
four,Patru
cause,cauză
fuck,La dracu
explain,explica
expect,aştepta
fight,luptă
exactly,exact
sort,fel
completely,complet
men,bărbați
dance,dans
met,întâlnit
story,poveste
whatever,tot ceea ce
build,construi
speak,vorbi
glass,sticlă
pain,durere
check,Verifica
glare,strălucire
corner,colţ
Mrs.,D-na.
chest,cufăr
hot,Fierbinte
rather,mai degraba
month,lună
real,real
touch,atingere
park,parc
bring,aduce
they're,Sunt
drink,băutură
ago,în urmă
force,forta
you've,tu
fast,rapid
lost,pierdut
attention,Atenţie
wish,dori
mark,marcă
wave,val
shout,strigăt
fill,completati
begin,ÎNCEPE
baby,bebelus
interest,interes
money,bani
fun,distracţie
green,verde
however,in orice caz
cheek,obraz
mine,A mea
clear,clar
brown,maro
forward,redirecţiona
near,aproape
picture,imagine
may,Mai
cool,misto
drive,conduce
hug,îmbrăţişare
shake,scutura
sense,sens
alright,bine
you'll,vei
dream,vis
hang,atârna
clothes,haine
act,act
become,deveni
manage,administra
meant,însemnat
game,joc
ignore,ignora
stair,scară
taken,Luat
party,parte
add,adăuga
sometimes,uneori
job,loc de munca
ten,zece
shot,lovitură
date,Data
quiet,Liniște
gaze,privirea
group,grup
loud,tare
straight,Drept
dead,mort
neck,gât
beside,lângă
pause,pauză
number,număr
conversation,conversaţie
chance,şansă
we'll,bine
rose,Trandafir
quietly,in liniste
town,oraș
blood,sânge
color,culoare
desk,birou
dinner,cină
hall,hol
horse,cal
music,muzică
brought,adus
piece,bucată
anymore,mai
beautiful,frumoasa
order,Ordin
fire,foc
office,birou
TRUE,ADEVĂRAT
although,cu toate că
warm,cald
easy,uşor
enter,introduce
perfect,perfect
mutter,murmura
softly,încet
cross,cruce
shock,şoc
smirk,rânjet
damn,La naiba
soft,moale
stomach,stomac
snap,Snap
spoke,vorbit
tire,obosi
box,cutie
catch,captură
skin,piele
teacher,profesor
middle,mijloc
note,Notă
yourself,tu
haven't,nu
lunch,Masa de pranz
tomorrow,Mâine
breathe,a respira
clean,curat
except,cu exceptia
appear,apărea
lock,Lacăt
knock,bătut
bathroom,baie
movie,film
agree,de acord
offer,oferi
kick,lovitură
form,formă
confuse,confunda
lay,lay
less,Mai puțin
calm,calm
slip,alunecare
weren't,Nu eram
sign,semn
dog,câine
lift,lift
immediately,imediat
arrive,ajunge
deal,afacere
tonight,astă seară
usually,de obicei
case,caz
frown,se încrunta
shop,magazin
scare,a speria
promise,promisiune
mum,mămică
couch,canapea
pay,a plati
state,stat
shit,rahat
wrap,înveliș
pocket,buzunar
hello,Buna ziua
free,gratuit
huge,imens
ride,plimbare
bother,deranja
land,teren
known,cunoscut
especially,in mod deosebit
expression,expresie
carry,transporta
ring,inel
spot,loc
allow,permite
several,Câteva
aren't,nu sunt
during,pe parcursul
empty,gol
lady,doamnă
eyebrow,sprânceană
strange,ciudat
coffee,cafea
road,drum
threw,aruncat
wide,lat
bus,autobuz
forget,a uita
gotten,a obținut
smell,miros
fear,frică
press,presa
boyfriend,iubit
blonde,blondă
throw,arunca
round,rundă
sun,soare
tall,înalt
glad,bucuros
age,vârstă
write,scrie
upon,peste
hide,ascunde
became,a devenit
crowd,mulțime
rain,ploaie
save,Salvați
trouble,necaz
annoy,deranja
nose,nas
weird,ciudat
death,moarte
beat,bate
tone,ton
trip,călătorie
six,şase
control,Control
nearly,aproape
consider,considera
gonna,Gonna
join,a te alatura
learn,învăța
above,de mai sus
hi,Bună
obviously,evident
entire,întreg
direction,direcţie
foot,picior
angry,furios
power,putere
strong,puternic
quick,rapid
doctor,doctor
edge,margine
song,cântec
asleep,adormit
twenty,douăzeci
barely,de abia
remain,rămâne
child,copil
enjoy,Bucurați -vă
gun,armă
slow,încet
city,oraș
broke,rupt
key,cheie
lead,conduce
throat,gât
normal,normal
you'd,tu ai fi
somewhere,undeva
wake,trezi
pair,pereche
sky,cer
funny,amuzant
business,Afaceri
student,student
giggle,chicoti
bright,luminos
admit,recunoaște
jeans,blugi
given,dat
children,copii
store,magazin
sweet,dulce
low,scăzut
climb,a urca
rub,freca
apartment,apartament
knee,genunchi
shoe,pantof
attack,atac
bedroom,dormitor
joke,glumă
spent,a petrecut
situation,situatie
stuck,blocat
gently,ușor
possible,posibil
cell,celulă
mention,Menționează
silent,tăcut
definitely,categoric
rush,te grabesti
hung,spânzurat
brush,perie
perhaps,poate
groan,geme
ass,cur
rock,Rock
card,card
lose,pierde
blush,Blush
besides,in afara de asta
crazy,nebun
type,tip
bore,a plictisit
afraid,frică
chase,urmarire
respond,răspunde
marry,căsătoriți -vă
remind,reaminti
pack,ambalaj
daughter,fiică
serious,serios
girlfriend,iubita
mad,nebun
somehow,oarecum
buy,Cumpără
sent,trimis
tight,strâmt
simply,pur şi simplu
trust,încredere
imagine,imagina
wind,vânt
chuckle,chicoteală
bar,bar
pink,roz
shove,scutură
ball,minge
sight,vedere
drag,trage
they'd,ar fi
human,uman
truth,adevăr
share,acțiune
area,zonă
concern,îngrijorare
shouldn't,nu ar trebui
team,echipă
escape,evadare
mumble,murmur
often,de multe ori
search,căutare
apparently,aparent
attempt,"atentat, încercare"
son,fiul
within,în
band,grup
cute,drăguţ
led,LED
memory,memorie
anger,furie
fly,a zbura
paint,a picta
bottle,sticla
busy,ocupat
comment,cometariu
exclaim,exclama
avoid,evita
grow,crește
grey,gri
mirror,oglindă
gasp,Gasp
hallway,hol
dear,dragă
star,stea
sick,bolnav
cat,pisică
counter,tejghea
interrupt,întrerupe
none,nici unul
blink,Clipea
spend,petrece
usual,ca de obicei
worse,mai rau
locker,vestiar
important,important
favorite,favorit
grip,prindere
TV,televizor
ice,gheaţă
pretend,pretinde
settle,se stabilește
amaze,uimi
pop,Pop
disappear,dispărea
carefully,cu grija
train,tren
stick,băț
guard,paznic
teeth,dinți
flash,bliț
uncle,Unchiul
send,trimite
doubt,îndoială
visit,vizita
nervous,agitat
excite,excita
approach,abordare
excuse,scuză
fit,potrivi
noise,zgomot
study,studiu
letter,scrisoare
police,politie
eventually,în cele din urmă
burn,a arde
field,camp
hospital,spital
tie,cravată
summer,vară
huh,Huh
shift,schimb
self,de sine
hurry,grabă
greet,salută
wife,soție
position,poziţie
we've,noi
wipe,sterge
heavy,greu
slam,SLAM
broken,rupt
complete,complet
space,spaţiu
brain,creier
tiny,minuscul
pants,pantaloni
ah,Ah
punch,lovi cu pumnul
shower,duș
tongue,limbă
afternoon,dupa amiaza
seriously,Serios
cup,ceașcă
further,mai departe
race,rasă
recognize,recunoaşte
computer,calculator
rang,a sunat
safe,sigur
jacket,sacou
bottom,fund
hundred,sută
relax,Relaxați-vă
sudden,brusc
wow,Wow
college,colegiu
flip,flip
mood,dispozitie
track,urmări
crack,sparge
block,bloc
handle,mâner
themselves,înșiși
drove,a condus
seven,Șapte
struggle,lupta
whether,dacă
ahead,înainte
sad,trist
dry,uscat
women,femei
focus,Concentrați -vă
repeat,repeta
thick,gros
relationship,relaţie
jerk,smucitură
present,prezent
suck,a suge
bell,clopot
surround,înconjurător
evening,seară
bite,mușcă
single,singur
fault,vina
shadow,umbră
wood,lemn
easily,uşor
woke,s -a trezit
smoke,fum
draw,a desena
suggest,sugera
wet,umed
accept,Accept
third,al treilea
totally,intru totul
wore,purtau
breakfast,mic dejun
trail,traseu
animal,animal
warn,a avertiza
aunt,mătuşă
sir,Domnule
piss,pisică
burst,izbucni
match,Meci
fix,fix
practically,practic
odd,ciudat
wash,spalare
sing,cânta
inch,inch
size,mărimea
secret,secret
who's,Cine este
clock,ceas
company,companie
view,vedere
suit,costum
forever,pentru totdeauna
familiar,familiar
forehead,frunte
shoot,trage
grew,crescut
stretch,întinde
pound,livră
despite,în ciuda
response,raspuns
center,centru
curl,răsuci
slight,uşor
toss,arunca
beneath,sub
fist,pumn
welcome,Bine ati venit
laughter,râsete
angel,înger
Christmas,Crăciun
we'd,am fi fost
main,principal
simple,simplu
neither,nici
distance,distanţă
comfort,confort
upset,supărat
assume,presupune
eight,opt
gather,aduna
lucky,norocos
fade,decolorare
Ms.,Domnișoară
coat,palton
special,special
awkward,incomod
certain,anumit
plate,farfurie
darkness,întuneric
practice,practică
obvious,evident
grade,grad
cream,cremă
choice,alegere
hardly,cu greu
pale,palid
thin,subţire
button,buton
chocolate,ciocolată
refuse,refuza
slid,a alunecat
pillow,pernă
thirty,treizeci
count,numara
honestly,sincer
poor,sărac
motion,mişcare
storm,furtună
lightly,uşor
nobody,nimeni
experience,experienţă
path,cale
period,perioadă
dare,a indrazni
demand,cerere
comfortable,confortabil
clearly,clar
silver,argint
peer,peer
birthday,zi de nastere
disgust,dezgust
embarrass,a face de rusine
bought,cumparat
test,Test
lap,tur
bet,pariu
loudly,tare
driver,conducător auto
murmur,murmur
taste,gust
perfectly,perfect
squeeze,stoarce
board,bord
worth,in valoare de
fold,pli
spread,răspândire
crap,rahat
emotion,emoţie
subject,subiect
pour,se toarnă
laid,LAID
lower,inferior
mile,mile
yea,Da
page,pagină
pile,morman
snow,zăpadă
message,mesaj
English,Engleză
scene,scenă
sink,chiuvetă
fail,eșuează
forgot,uitat
hole,gaură
silently,tăcut
heat,căldură
weekend,sfârșit de săptămână
drew,Drew
guitar,chitară
sweat,sudoare
unless,dacă nu
cloud,nor
waist,talie
slap,palmă
argue,argumenta
grass,iarbă
idiot,idiot
screen,ecran
yesterday,ieri
swear,jura
twin,gemeni
instantly,imediat
apart,în afară
narrow,îngust
opposite,opus
blow,a sufla
wrist,încheietura
earth,Pământ
action,acțiune
circle,cerc
forgotten,uitat
list,listă
closet,dulap
drunk,beat
shape,formă
yellow,galben
twist,răsucire
weight,greutate
smart,inteligent
it'll,O să fie
treat,trata
pool,bazin
prepare,a pregati
awake,treaz
certainly,cu siguranță
tease,şicana
contact,a lua legatura
slide,diapozitiv
wonderful,minunat
bitch,căţea
reveal,dezvălui
swing,leagăn
truck,camion
anywhere,oriunde
flower,floare
upstairs,la etaj
hers,al ei
itself,în sine
wander,umbla
downstairs,jos
football,fotbal
possibly,eventual
rip,RIP
forest,pădure
mostly,Mai ales
bloody,sângeros
church,biserică
gay,Gay
stone,piatră
husband,soț
sex,sex
trick,truc
yours,a ta
growl,mârâit
club,club
Friday,vineri
stage,etapă
include,include
sip,înghiţitură
invite,a invita
sharp,ascuțit
convince,convinge
sheet,foaie
absolutely,absolut
orange,portocale
relief,relief
apologize,scuza
art,artă
he'll,iad
remove,elimina
crash,accident
van,Van
curse,blestem
alive,în viaţă
blanket,pătură
receive,a primi
tip,bacsis
rise,creştere
tightly,strans
waste,deşeuri
bowl,castron
fallen,căzut
river,râu
mama,Mama
pace,ritm
honey,Miere
swallow,a inghiti
king,rege
camera,aparat foto
deserve,merita
dirty,murdar
chin,bărbie
doorway,intrare
image,imagine
cookie,cookie
homework,teme pentru acasă
hat,pălărie
luck,noroc
aside,deoparte
information,informație
fifteen,cincisprezece
fair,corect
player,jucător
monster,monstru
gate,Poartă
win,victorie
below,de mai jos
ceiling,tavan
click,clic
cook,bucătar
travel,voiaj
fish,peşte
lit,aprins
nervously,nervos
towel,prosop
shiver,fior
final,final
horrible,oribil
station,statie
camp,tabără
hungry,foame
thousand,mie
evil,rău
rich,bogat
war,război
involve,implica
jaw,maxilar
uncomfortable,incomod
directly,direct
level,nivel
double,dubla
nine,nouă
creature,creatură
glow,strălucire
somewhat,oarecum
blame,vina
entrance,Intrare
hip,şold
fresh,proaspăt
hiss,șuierat
normally,în mod normal
tap,Atingeți
machine,mașinărie
ruin,ruina
bear,urs
rule,regulă
till,până
cock,cocoş
stumble,poticnire
complain,se plânge
everybody,toata lumea
truly,cu adevărat
nurse,asistent medical
speed,viteză
hmm,Hmm
panic,panică
smooth,neted
weak,slab
good-bye,La revedere
would've,ar fi fost
extra,suplimentar
gesture,gest
scowl,încrunta
beer,bere
release,eliberare
country,țară
officer,ofiţer
careful,atent
create,crea
hill,deal
snort,sforăie
flew,a zburat
heel,toc
brow,frunte
charge,încărca
flat,apartament
plus,la care se adauga
switch,intrerupator
whenever,oricând
drift,derivă
metal,metal
discover,descoperi
wheel,roată
skirt,fustă
pat,Pat
ate,a mancat
tea,ceai
hotel,hotel
sob,suspin
future,viitor
record,record
boot,cizme
likely,probabil
cheer,ridica moralul
gold,aur
prove,dovedi
ha,Ha
twice,de două ori
aware,conștient
lack,lipsa
princess,prinţesă
bench,bancă
cousin,văr
detail,detaliu
amount,Cantitate
bird,pasăre
backward,înapoi
crush,zdrobi
cigarette,ţigară
faint,slab
belong,aparține
stranger,străin
beach,plajă
load,sarcină
everywhere,pretutindeni
scratch,zgârietură
history,istorie
restaurant,restaurant
event,eveniment
extremely,extrem
widen,largi
clutch,ambreiaj
due,datorat
tug,remorcă
beyond,dincolo
happily,fericit
mistake,greşeală
palm,palmier
amuse,amuza
guest,oaspete
Saturday,sâmbătă
wooden,de lemn
worst,cel mai rău
exit,Ieșire
plastic,plastic
reality,realitate
wince,Wince
announce,anunță
gotta,Gotta
slept,a dormit
she'll,coajă
member,membru
choose,alege
Dr.,Dr.
swim,înot
alarm,alarma
crawl,târâre
dollar,dolar
knife,cuţit
magic,magie
paid,plătit
pizza,pizza
purse,pungă
gift,cadou
chicken,pui
plane,avion
choke,sufoca
screw,şurub
protest,protest
base,baza
drug,medicament
introduce,introduce
sleeve,mânecă
movement,circulaţie
loose,slăbit
bare,neizolat
wanna,Vrei
difficult,dificil
frame,cadru
spin,a învârti
fake,fals
pen,pix
understood,înțeles
nor,nici
unfortunately,din pacate
written,scris
decision,decizie
beg,implora
heavily,puternic
insist,insista
soul,suflet
random,Aleatoriu
sport,sport
male,masculin
urge,îndemn
million,milion
yawn,căscat
backpack,rucsac
judge,judecător
startle,tresărire
bunch,buchet
stream,curent
they'll,vor
muscle,muşchi
yard,curte
accident,accident
dragon,balaur
sentence,propoziție
fool,prost
torn,rupt
bow,arc
echo,ecou
mix,amesteca
bury,îngropa
system,sistem
dirt,murdărie
spirit,spirit
leaf,frunze
protect,proteja
row,rând
forth,mai departe
purple,Violet
bang,Bang
curious,curios
nearby,din apropiere
nowhere,nicăieri
collapse,colaps
hop,hop
proud,mândru
wing,aripă
destroy,distruge
sea,mare
separate,separa
silly,prost
wound,răni
honest,sincer
battle,luptă
born,născut
cough,tuse
mountain,Munte
split,Despică
square,pătrat
underneath,dedesubt
bike,bicicletă
process,proces
somebody,cineva
classroom,sala de clasă
presence,prezenţă
whose,a caror
grown,crescut
hidden,ascuns
serve,servi
female,Femeie
garden,grădină
meal,masă
unable,incapabil
elbow,cot
support,a sustine
bridge,pod
reaction,reacţie
skip,ocolire
wild,sălbatic
angrily,nervos
effect,efect
threaten,a ameninta
basically,pe scurt
smack,Smack
stroke,accident vascular cerebral
flow,curgere
moan,geamăt
plant,plantă
impossible,imposibil
bruise,zdrobi
disappoint,dezamăgi
energy,energie
relieve,ușurare
confusion,confuzie
wedding,nuntă
fat,gras
bill,factură
dude,Omule
address,abordare
cast,distribuire
naked,gol
toy,jucărie
math,Matematică
personal,personal
ship,navă
spun,rotit
chat,conversație
pray,Rugați -vă
whip,bici
grasp,înţelege
hasn't,nu are
float,pluti
fully,complet
gorgeous,superb
indeed,într-adevăr
nail,cuie
vision,viziune
innocent,nevinovat
friendly,prietenos
jealous,gelos
swung,s -a învârtit
flame,flacără
dorm,dormitor
driveway,Calea de rulare
spill,vărsare
gang,bandă
murder,crimă
respect,respect
bent,îndoit
tail,coadă
inform,informa
lesson,lecţie
whine,se văita
clench,încleştare
excitement,entuziasm
library,bibliotecă
lord,Lord
surface,suprafaţă
dust,praf
dump,Dump
feature,caracteristică
object,obiect
weapon,armă
calmly,calm
hesitate,ezita
hint,aluzie
law,lege
magazine,revistă
among,printre
boss,șef
file,fişier
leather,Piele
result,rezultat
thrown,aruncat
toe,degetul de la picior
terrible,teribil
local,local
project,proiect
won,castigat
radio,radio
regret,regret
grumble,bâzâi
otherwise,in caz contrar
ridiculous,ridicol
CD,CD
lovely,minunat
mock,a-și bate joc
effort,efort
fan,ventilator
nerve,nerv
report,raport
stall,stand
elevator,lift
mate,partener
bastard,Bastard
grunt,mormăit
o'clock,Ora
rope,frânghie
entirely,în întregime
frighten,speria
shade,umbră
strength,putere
bone,os
exchange,schimb valutar
flight,zbor
Monday,luni
partner,partener
plain,simplu
shine,strălucire
cafeteria,CAFETERIE
beam,fascicul
exist,exista
porch,verandă
queen,regină
squeal,scârțâit
faith,credinţă
pierce,Pierce
remark,Observație
content,conţinut
ease,uşura
flick,scutura
mall,centru comercial
cannot,nu poti
carpet,covor
length,lungime
replace,a inlocui
duck,rață
bump,cucui
common,uzual
style,stil
tan,bronz
cake,tort
court,Curte
previous,anterior
balance,echilibru
bank,bancă
blind,ORB
dangerous,periculos
particular,special
sell,vinde
wrote,a scris
distract,distrage
melt,topi
popular,popular
social,social
teach,a preda
appearance,aspect
correct,corect
lake,lac
public,public
sarcastically,sarcastic
guilty,vinovat
kinda,oarecum
shall,trebuie
television,televiziune
boat,barcă
firmly,cu fermitate
tent,cort
thumb,deget mare
manner,manieră
flush,culoare
roof,acoperiş
schedule,programa
dine,Cinți
weather,vreme
casually,casual
moon,Luna
difference,diferență
butt,fund
charm,farmec
feed,a hrani
frustration,frustrare
gentle,blând
hook,cârlig
bounce,sări
particularly,în special
pleasure,plăcere
sneak,a strecura
leader,lider
rage,furie
shriek,ţipăt
suffer,suferi
Sunday,duminică
argument,argument
pregnant,gravidă
discuss,discuta
statement,afirmație
ticket,bilet
dig,săpa
doll,păpuşă
chill,frig
fence,gard
horror,groază
built,construit
cop,poliţist
security,Securitate
sidewalk,trotuar
breast,sân
curtain,perdea
whom,pe cine
fifty,cincizeci
giant,gigant
milk,lapte
recall,reamintire
term,termen
footstep,pas
stun,înțepătură
tuck,Tuck
clothing,îmbrăcăminte
lick,linge
joy,bucurie
ugly,urât
hopefully,in speranta
soldier,soldat
plead,pledează
struck,lovit
trap,capcană
opinion,opinie
plenty,mult
tank,rezervor
breeze,briză
awesome,minunat
desire,dorință
roommate,coleg de cameră
halfway,la jumătatea drumului
opportunity,oportunitate
outfit,imbracaminte
rough,stare brută
ain't,Ain't
beauty,frumuseţe
chose,ales
snake,şarpe
tape,bandă
badly,prost
cheat,trișa
daddy,Tati
roar,hohote
describe,descrie
desperately,disperat
height,înălţime
thigh,coapsă
tilt,înclinare
deeply,profund
friendship,prietenie
winter,iarnă
witch,vrăjitoare
worn,uzat
condition,condiție
enemy,dusman
golden,de aur
sofa,canapea
master,maestru
rude,nepoliticos
throughout,pe tot parcursul
assure,asigura
damage,deteriora
natural,natural
steal,fura
belt,curea
cage,cuşcă
claim,Revendicare
nightmare,coșmar
prefer,prefera
purpose,scop
merely,doar
pin,ac
French,limba franceza
sadly,din păcate
uniform,uniformă
branch,ramură
direct,direct
hunter,vânător
juice,suc
character,caracter
pure,pur
stain,pata
various,variat
gain,câştig
soak,Înmuiați
lately,în ultima vreme
pitch,pas
accent,accent
they've,au
tremble,tremura
cabin,cabină
chew,mesteca
physical,fizic
puzzle,puzzle
explode,exploda
steady,constant
how's,Cum e
pet,animal de companie
sake,dragul
compare,comparaţie
principal,principal
scan,scanare
forty,patruzeci
impress,impresiona
mentally,mintal
react,reacţiona
sandwich,sandwich
shy,timid
twelve,doisprezece
whilst,în timp ce
bullet,glonţ
challenge,provocare
command,comanda
examine,examina
film,film
appreciate,a aprecia
tense,încordat
blank,gol
blew,a suflat
fought,au luptat
gym,Sală de gimnastică
passenger,pasager
teenager,adolescent
dish,farfurie
drawn,desenat
scary,infricosator
unlike,spre deosebire de
straighten,îndreptați
strain,încordare
tune,ton
constantly,constant
famous,faimos
marriage,căsătorie
bound,legat
fancy,extravagant
issue,emisiune
warmth,căldură
awhile,un timp
collect,colectarea
concentrate,concentrat
copy,copie
disbelief,neîncredere
tighten,strânge
determine,a determina
favor,favoare
mental,mental
bush,tufiș
forgive,iartă
aim,scop
embrace,îmbrăţişare
fairly,destul de
froze,a înghețat
insult,insultă
option,opțiune
post,post
resist,a rezista
spoken,vorbit
apple,măr
general,general
instant,instant
jeep,jeep
emerge,ieși
neighbor,vecin
pressure,presiune
service,serviciu
shuffle,amesteca
briefly,scurt
notebook,caiet
peace,pace
string,şir
wine,vin
dash,fleacă
gut,intestin
stress,stres
connect,conectați
language,limba
private,privat
spring,arc
chip,Chip
puppy,cățeluș
ache,durere
desperate,disperat
habit,obicei
necessary,necesar
nope,nu
pencil,creion
satisfy,satisface
deny,negă
mommy,Mami
attitude,atitudine
dial,cadran
painful,dureros
display,afişa
frustrate,frustrat
it'd,it'd
tend,tind
exact,corect
powerful,puternic
nature,natură
photo,fotografie
total,total
video,video
egg,ou
occur,apar
anybody,cineva
corridor,coridor
gulp,înghiţitură
trace,urmă
whoever,oricine
brief,scurt
exhaust,epuiza
pout,bat
terrify,îngrozitor
chapter,capitol
insane,nebun
spell,vraja
surely,cu siguranţă
tray,tavă
alcohol,alcool
chain,lanţ
fashion,Modă
garage,garaj
inquire,întreba
candy,bomboane
similar,similar
bark,latra
flirt,flirt
pathetic,jalnic
supply,livra
tower,turn
engine,motor
frozen,îngheţat
map,Hartă
toilet,toaletă
background,fundal
shudder,fior
spider,păianjen
adult,adult
cheap,ieftin
clue,cheie
hazel,căprui
irritate,irita
sand,nisip
quarter,sfert
spare,de rezervă
American,american
rid,scăpa
spat,scuipat
pot,oală
